title,authors,year,summary,keywords
representation of perceived object shape by the human lateral occipital complex,"Kourtzi, Z. & Kanwisher, N.",2001,"this study demonstrates that the lateral occipital complex (loc) of the human brain represents the perceived shape of objects, rather than their simple physical characteristics. using fmri, the authors observed that activity in the loc remains stable even when visual aspects such as texture, color, or lighting change, as long as the perceived shape of the object remains the same. this suggests that the loc plays a crucial role in the abstraction and recognition of shapes, independent of superficial sensory information","lateral occipital complex, loc, perceived shape, fmri, object recognition, shape abstraction, sensory independence, visual perception"
the lateral occipital complex and its role in object recognition,"Grill-Spector, K., Kourtzi, Z. & Kanwisher, N.",2001,"este estudio profundiza en el papel del complejo occipital lateral (loc) en el reconocimiento de objetos. a través de fmri, se observó que el loc responde fuertemente a la percepción de objetos completos en comparación con sus partes fragmentadas o estímulos sin forma coherente. además, su activación se asocia con la identificación consciente de los objetos más que con la simple detección visual. estos resultados consolidan al loc como una región clave en la jerarquía visual para el reconocimiento de formas y objetos.","complejo occipital lateral, loc, reconocimiento de objetos, fmri, percepción visual, identificación consciente, jerarquía visual, formas coherentes"
shape perception reduces activity in human primary visual cortex,"Murray, S. O. et al.",2002,"este estudio revela que la percepción coherente de la forma reduce la actividad en la corteza visual primaria (v1). utilizando fmri, los autores demostraron que cuando los observadores perciben una figura organizada a partir de estímulos visuales ambiguos, la actividad en v1 disminuye, mientras que aumenta en regiones superiores como el complejo occipital lateral (loc). estos resultados sugieren que la percepción de la forma implica un procesamiento jerárquico con retroalimentación desde áreas superiores, lo que optimiza la eficiencia del procesamiento visual.","percepción de la forma, corteza visual primaria, v1, fmri, complejo occipital lateral, loc, procesamiento jerárquico, retroalimentación, eficiencia visual"
the large-scale organization of shape processing in visual cortex,"Freud, E. et al.",2017,"este estudio explora la organización a gran escala del procesamiento de formas en la corteza visual humana. mediante análisis de fmri y conectividad funcional, los autores muestran que el procesamiento de la forma no se limita a una única región (como el loc), sino que involucra una red distribuida que incluye áreas ventrales y dorsales. se identifican gradientes funcionales que representan distintos niveles de abstracción de la forma, desde características locales hasta representaciones globales de objetos. esto sugiere una arquitectura visual altamente integrada y jerárquica.","procesamiento de formas, corteza visual, fmri, conectividad funcional, red distribuida, áreas ventrales, áreas dorsales, gradientes funcionales, abstracción de la forma, arquitectura visual"
imagining material versus geometric properties of objects,"Newman, S. D. et al.",2005,"este estudio examina cómo el cerebro diferencia entre la imaginación de las propiedades materiales (como textura o brillo) y las propiedades geométricas (como forma o contorno) de los objetos. utilizando fmri, los autores encontraron que imaginar propiedades materiales activa regiones relacionadas con la percepción táctil y visual ventral, mientras que las propiedades geométricas implican áreas más dorsales asociadas al análisis espacial. esto evidencia una separación funcional en la representación mental de los objetos según el tipo de atributo percibido o imaginado.","imaginación de objetos, propiedades materiales, propiedades geométricas, fmri, corteza visual ventral, corteza visual dorsal, representación mental, percepción táctil, análisis espacial"
steady-state visually evoked potentials: paradigms and perspectives,"Vialatte, F.-B., Maurice, M., Dauwels, J. & Cichocki, A.",2010,"este artículo ofrece una revisión exhaustiva de los potenciales visuales evocados en estado estable (ssveps), una respuesta neuronal periódica generada por estímulos visuales rítmicos. los autores discuten los mecanismos neurofisiológicos subyacentes, las frecuencias óptimas de estimulación y las aplicaciones en neurociencia cognitiva y interfaces cerebro-computadora. se destaca que la frecuencia e intensidad del estímulo visual pueden modular la amplitud y fase de la respuesta cortical, proporcionando información sobre la sincronización neuronal y la plasticidad visual.","potenciales visuales evocados en estado estable, ssveps, neurofisiología, estimulación rítmica, neurociencia cognitiva, interfaces cerebro-computadora, sincronización neuronal, plasticidad visual"
the steady-state visual evoked potential in vision research,"Norcia, A. M. et al.",2015,"esta revisión analiza el uso de los potenciales visuales evocados en estado estable (ssveps) en la investigación de la visión. los autores discuten cómo diferentes frecuencias de estímulo visual producen respuestas corticales específicas y cómo estas pueden ser utilizadas para estudiar la percepción, la atención y la integración sensorial. también se revisan aplicaciones prácticas en estudios de cognición, desarrollo y patologías visuales, resaltando la robustez y precisión de los ssveps para mapear la actividad neuronal relacionada con estímulos rítmicos.","potenciales visuales evocados en estado estable, ssveps, investigación de la visión, percepción, atención, integración sensorial, cognición, desarrollo visual, patologías visuales, actividad neuronal"
characteristics of steady-state and transient responses evoked by modulated light,"Regan, D.",1966,"este estudio clásico analiza las respuestas visuales del cerebro ante estímulos luminosos modulados, diferenciando entre respuestas transitorias y en estado estable (steady-state). regan muestra que las respuestas ssvep son altamente dependientes de la frecuencia del estímulo y que la amplitud y fase de la señal eeg varían según la modulación luminosa. estos hallazgos proporcionan la base para comprender cómo el sistema visual codifica información temporal y cómo se pueden optimizar los estímulos visuales para generar respuestas corticales predecibles.","potenciales visuales evocados, respuestas transitorias, respuestas en estado estable, ssvep, modulación luminosa, frecuencia del estímulo, codificación temporal, sistema visual, eeg"
human eeg responses to 1100 hz flicker: resonance phenomena in visual cortex,"Herrmann, C. S.",2001,"este estudio examina cómo el cerebro humano responde a estímulos visuales intermitentes (flicker) en un rango de 1 a 100 hz, utilizando eeg. se identifican fenómenos de resonancia en la corteza visual, donde ciertas frecuencias generan respuestas amplificadas, indicando que el cerebro tiene bandas de frecuencia óptimas para el procesamiento visual. estos hallazgos son fundamentales para comprender la sincronización neuronal, el procesamiento temporal de estímulos y el diseño de estímulos visuales para investigación y aplicaciones en neurotecnología.","potenciales visuales evocados, eeg, flicker, resonancia cortical, corteza visual, sincronización neuronal, procesamiento temporal, neurotecnología"
presence of strong harmonics during visual entrainment,"Heinrichs-Graham, E. et al.",2012,"este estudio investiga la generación de armónicos fuertes en la corteza visual durante el entrainment visual rítmico. utilizando meg, los autores muestran que la estimulación visual periódica no solo produce respuestas fundamentales sino también armónicos múltiples, reflejando la compleja dinámica neuronal y la interacción entre diferentes redes corticales. los hallazgos ayudan a entender cómo la frecuencia y el patrón de los estímulos modulan la sincronización neuronal y la percepción visual.","entrainment visual, armónicos, meg, corteza visual, dinámica neuronal, redes corticales, sincronización neuronal, percepción visual"
optimal gamma-band entrainment of visual cortex,"Petro, N. M. et al.",2024,"este estudio explora cómo la corteza visual humana responde al entrainment en la banda gamma (~30100 hz) usando técnicas de neuroimagen. los autores muestran que existe un rango óptimo de frecuencias gamma que maximiza la sincronización neuronal y mejora la codificación de estímulos visuales. además, se observa que esta sincronización facilita la integración de color, forma y movimiento, sugiriendo aplicaciones para el diseño de estímulos visuales que optimicen la percepción y la atención.","entrainment visual, banda gamma, corteza visual, sincronización neuronal, neuroimagen, codificación de estímulos, integración sensorial, percepción visual, atención"
rod-driven frequency entrainment and resonance,"Salchow, C. et al.",2016,"este estudio analiza cómo los bastones (fotorreceptores sensibles a baja luminosidad) contribuyen al entrainment y resonancia cortical ante estímulos visuales periódicos. usando eeg, los autores muestran que la frecuencia de estimulación modula la respuesta neuronal en función de la vía rod-dominante, destacando diferencias entre percepción en condiciones de luz baja y alta. los hallazgos ofrecen información clave para diseñar estímulos visuales efectivos en entornos con iluminación variable y para entender la contribución de la vía rod a la sincronización cortical.","entrainment visual, bastones, resonancia cortical, eeg, vía rod-dominante, percepción visual, iluminación variable, sincronización cortical"
attenuated fast ssveps during sleep,"Sharon, O. et al.",2018,"este estudio investiga cómo los potenciales visuales evocados en estado estable (ssveps) se ven afectados durante el sueño. usando eeg, los autores muestran que las respuestas rápidas a estímulos visuales periódicos se atenúan significativamente en comparación con la vigilia, indicando una disminución en la sincronización neuronal y la sensibilidad cortical durante diferentes fases del sueño. estos resultados ayudan a comprender cómo el procesamiento visual y la atención cortical cambian en estados de conciencia alterados.","ssveps, sueño, eeg, sincronización neuronal, sensibilidad cortical, procesamiento visual, atención cortical, estados de conciencia alterados"
"visual stimulation under 4 hz, not 10 hz, generates distinct responses","Retter, T. L. et al.",2025,"este estudio analiza cómo diferentes frecuencias de estimulación visual afectan la respuesta cortical medida por eeg. los autores muestran que estímulos a 4 hz generan respuestas distintivas en comparación con 10 hz, destacando que la frecuencia baja produce mayor sincronización en ciertas áreas visuales. estos hallazgos sugieren que la elección de la frecuencia de estimulación es crucial para manipular la actividad cortical y diseñar estímulos visuales optimizados para experimentos de percepción y neuroestética.","estimulación visual, frecuencias bajas, eeg, sincronización cortical, percepción visual, neuroestética, diseño de estímulos, respuesta cortical"
critical flicker fusion frequency: a narrative review,"Mankowska, N. D. et al.",2021,"esta revisión narrativa analiza la frecuencia crítica de fusión de parpadeo (cff), que es la velocidad a la cual un estímulo intermitente se percibe como constante. los autores discuten cómo factores como la luminancia, color, edad y fatiga afectan la cff, así como sus implicaciones en percepción visual, diseño de pantallas y estudios de ssvep. el trabajo también sintetiza hallazgos sobre la variabilidad individual y los mecanismos neuronales que determinan la percepción temporal de estímulos visuales.","frecuencia crítica de fusión de parpadeo, cff, percepción visual, luminancia, color, edad, fatiga, diseño de pantallas, ssvep, mecanismos neuronales"
ssveps reveal crossmodal pitchvision associations,"Sciortino, P. et al.",2023,"este estudio explora asociaciones crossmodales entre sonido (pitch) y percepción visual usando potenciales visuales evocados en estado estable (ssveps). los autores muestran que ciertas frecuencias visuales se sincronizan con tonos específicos, revelando una integración multisensorial en la corteza visual y auditiva. los hallazgos sugieren que el cerebro integra información de diferentes modalidades sensoriales para crear experiencias perceptuales coherentes, con implicaciones para neuroestética y diseño de estímulos multisensoriales.","ssveps, asociaciones crossmodales, percepción visual, percepción auditiva, integración multisensorial, corteza visual, corteza auditiva, experiencias perceptuales, neuroestética, diseño multisensorial"
ssveps combined with behavioural tasks in perception research,"Wittenhagen, L. et al.",2019,"este estudio combina potenciales visuales evocados en estado estable (ssveps) con tareas conductuales para investigar la percepción visual. los autores muestran que los ssveps reflejan no solo la respuesta cortical a estímulos rítmicos, sino también la atención y el rendimiento en tareas cognitivas. estos hallazgos subrayan la utilidad de los ssveps como herramienta para vincular la actividad neuronal con el comportamiento perceptual y para diseñar experimentos que exploren la interacción entre estímulo visual y respuesta conductual.","ssveps, tareas conductuales, percepción visual, atención, rendimiento cognitivo, actividad neuronal, comportamiento perceptual, diseño experimental"
review of computational neuroaesthetics,"Li, R. et al.",2020,"esta revisión analiza el campo emergente de la neuroestética computacional, que combina neurociencia, psicología y modelado computacional para entender cómo el cerebro responde a estímulos estéticamente significativos. se discuten métodos para cuantificar respuestas neuronales a propiedades visuales como color, forma, simetría y complejidad, así como técnicas de machine learning para predecir preferencias estéticas. el trabajo destaca la importancia de integrar datos empíricos con modelos computacionales para explorar la percepción estética de manera sistemática.","neuroestética computacional, neurociencia, psicología, modelado computacional, respuestas neuronales, propiedades visuales, machine learning, preferencias estéticas, percepción estética, integración de datos"
a narrative scoping review of neuroaesthetics and visual perception,"Atiyeh, B. et al.",2025,"esta revisión narrativa aborda la neuroestética y la percepción visual, explorando cómo diferentes propiedades visuales (color, forma, luz) afectan la experiencia estética y la actividad cerebral. se destacan estudios de neuroimagen que muestran la implicación de la corteza visual, áreas asociadas a recompensa y regiones frontales en la apreciación estética. el artículo también discute enfoques metodológicos y aplicaciones en diseño visual, arte y entornos interactivos.","neuroestética, percepción visual, propiedades visuales, experiencia estética, actividad cerebral, neuroimagen, corteza visual, áreas de recompensa, diseño visual, arte"
shaping and reshaping the aesthetic brain: emerging perspectives,"Kirsch, L. P. et al.",2016,"este artículo revisa cómo la experiencia estética modifica la actividad cerebral y la percepción visual. los autores discuten cómo estímulos visuales, musicales y artísticos activan redes que incluyen la corteza visual, áreas de recompensa y regiones frontales. además, exploran cómo la exposición repetida y la experiencia previa pueden reconfigurar la percepción estética y la respuesta neuronal, proporcionando evidencia sobre la plasticidad del cerebro en la apreciación artística.","experiencia estética, actividad cerebral, percepción visual, corteza visual, áreas de recompensa, plasticidad cerebral, apreciación artística, redes neuronales, estímulos visuales, reconfiguración perceptual"
neuroelectrical brain imaging on perception and appreciation of pictures,"Maglione, A. G. et al.",2017,"este estudio utiliza técnicas de neuroimagen eléctrica (eeg) para investigar cómo el cerebro procesa y aprecia imágenes visuales. los autores muestran que la percepción de imágenes estéticamente agradables activa tanto la corteza visual como regiones asociadas a la recompensa, destacando la interacción entre procesamiento sensorial y evaluación emocional. se enfatiza la relación entre características visuales de las imágenes (color, forma, composición) y la respuesta neural, ofreciendo información relevante para neuroestética y diseño visual.","neuroimagen eléctrica, eeg, percepción visual, apreciación estética, corteza visual, áreas de recompensa, procesamiento sensorial, evaluación emocional, características visuales, diseño visual"
decoding color and luminance from responses in human visual cortex,"Bannert, M. M. & Bartels, A.",2013,"este estudio investiga cómo la corteza visual humana codifica información de color y luminancia usando fmri y análisis multivoxel. los autores muestran que los patrones de activación en áreas visuales, especialmente v1 y v4, permiten decodificar con precisión el color percibido y los niveles de luminancia. los hallazgos destacan que la percepción visual no depende únicamente de estímulos físicos, sino de representaciones neuronales distribuidas que integran información cromática y de brillo.","corteza visual, codificación del color, luminancia, fmri, análisis multivoxel, áreas visuales, percepción visual, representaciones neuronales, integración cromática, brillo"
"color, motion, and attention in the human visual cortex","Bartels, A. et al.",2008,"este estudio explora cómo el cerebro humano procesa simultáneamente color, movimiento y atención en la corteza visual. usando fmri, los autores muestran que diferentes áreas visuales (como v1, v2, v4 y mt) responden selectivamente a estos atributos, mientras que la atención modula la intensidad y precisión de la activación. los resultados sugieren que la percepción visual es el producto de interacciones dinámicas entre procesamiento de atributos específicos y mecanismos de atención, lo que permite una representación integrada de los estímulos.","corteza visual, procesamiento del color, procesamiento del movimiento, atención visual, fmri, áreas visuales, interacciones dinámicas, percepción visual, representación integrada, mecanismos de atención"
the contribution of area v4 to human color vision,"McKeefry, D. J. & Zeki, S.",1997,"este estudio analiza el papel del área v4 en la percepción del color en humanos. utilizando fmri y estudios de lesionados, los autores muestran que v4 es crucial para la discriminación de colores y la constancia cromática. la activación en v4 permite percibir colores de manera estable a pesar de cambios en la iluminación, lo que indica que esta región integra información cromática y contextos visuales para generar una experiencia perceptual coherente.","área v4, percepción del color, fmri, discriminación de colores, constancia cromática, integración cromática, experiencia perceptual, contexto visual"
distributed neural systems for shape perception,"Kourtzi, Z. et al.",2003,"este estudio investiga cómo el cerebro percibe formas utilizando una red neural distribuida que incluye áreas ventrales y dorsales de la corteza visual. mediante fmri, los autores muestran que diferentes regiones codifican distintos niveles de información de forma, desde características locales hasta representaciones globales de objetos. la integración de estas señales permite un reconocimiento de formas eficiente y robusto frente a variaciones de tamaño, orientación y textura, destacando un procesamiento jerárquico y colaborativo en la percepción visual.","percepción de formas, red neural distribuida, corteza visual ventral, corteza visual dorsal, fmri, codificación de formas, reconocimiento de objetos, procesamiento jerárquico, integración de señales"
single-trial eeg analysis reveals burst structure during flicker stimulation,"Oppermann, H. et al.",2024,"este estudio utiliza análisis de eeg en ensayos individuales para examinar la estructura de ráfagas neuronales durante la estimulación visual intermitente (flicker). los autores muestran que la respuesta cortical no es continua, sino que se organiza en patrones de ráfagas sincronizadas que varían según la frecuencia del estímulo. estos hallazgos aportan información sobre la dinámica temporal de la corteza visual y la forma en que los estímulos rítmicos modulan la actividad neuronal en ensayos individuales.","eeg, análisis de ensayos individuales, ráfagas neuronales, estimulación visual intermitente, flicker, dinámica temporal, corteza visual, modulación neuronal, patrones sincronizados"
stimulus design affects harmonic content of ssvep responses,"Solf, B. et al.",2020,"este estudio investiga cómo el diseño de los estímulos visuales influye en el contenido armónico de las respuestas ssvep. los autores muestran que variaciones en frecuencia, forma, contraste y color del estímulo generan diferentes patrones de armónicos en la corteza visual, indicando que la respuesta neuronal es sensible a las propiedades del estímulo. estos hallazgos son relevantes para optimizar paradigmas de estimulación visual y comprender cómo la estructura de los estímulos modula la sincronización neuronal.","diseño de estímulos, contenido armónico, ssvep, corteza visual, frecuencia del estímulo, forma del estímulo, contraste, color, sincronización neuronal"
critical perspectives on gamma-band visual entrainment,"Duecker, K. et al.",2021,"este artículo revisa críticamente los estudios sobre el entrainment visual en la banda gamma (~30100 hz). los autores discuten las metodologías, inconsistencias y limitaciones en la interpretación de resultados, destacando cómo factores como la frecuencia, intensidad del estímulo y características individuales afectan la sincronización neuronal. se propone un enfoque más riguroso para futuras investigaciones, considerando tanto la dinámica cortical como la percepción visual y la aplicabilidad en neurotecnología.","entrainment visual, banda gamma, sincronización neuronal, metodología, dinámica cortical, percepción visual, neurotecnología, limitaciones de estudio, frecuencia del estímulo, intensidad del estímulo"
color preference modulates activity in visual cortex,"Racey, C. P. et al.",2019,"este estudio investiga cómo las preferencias de color de los individuos influyen en la actividad de la corteza visual. usando fmri, los autores muestran que los colores preferidos generan mayor activación en áreas visuales como v4, y se observa también implicación de regiones relacionadas con recompensa. estos hallazgos sugieren que la percepción estética del color está modulada por factores subjetivos y emociones, integrando procesamiento visual y afectivo.","preferencia de color, corteza visual, fmri, área v4, procesamiento visual, emociones, percepción estética, integración afectiva, activación cortical"
a functional and perceptual signature of the human visual cortex,"Freeman, J. et al.",2013,"este estudio analiza las características funcionales y perceptuales de la corteza visual humana utilizando técnicas de fmri y análisis multivoxel. los autores muestran que distintas áreas visuales codifican atributos específicos como color, forma y textura, y que estos patrones de activación están estrechamente relacionados con la percepción consciente de los estímulos. los resultados destacan la existencia de una firma funcional que refleja cómo la corteza visual organiza y representa la información sensorial para generar experiencias perceptuales coherentes.","corteza visual, fmri, análisis multivoxel, codificación de atributos, percepción consciente, representación sensorial, experiencia perceptual, organización cortical"
the role of shape and color in visual illusion and grouping,"Pinna, B. & Deiana, K.",2018,"este estudio analiza cómo la forma y el color contribuyen a las ilusiones visuales y al agrupamiento perceptual. los autores muestran que ciertos patrones de color y configuración de formas pueden inducir percepciones engañosas, afectando la segmentación y organización de objetos en la visión. estos hallazgos destacan la importancia de la interacción entre atributos visuales en la percepción y ofrecen información útil para diseño gráfico, neuroestética y comprensión de los mecanismos de agrupamiento visual.","forma, color, ilusiones visuales, agrupamiento perceptual, segmentación de objetos, percepción visual, interacción de atributos, diseño gráfico, neuroestética, mecanismos de agrupamiento"
the effects of temporal frequency on motion and shape perception,"Snowden, R. J. et al.",2006,"este estudio investiga cómo la frecuencia temporal de los estímulos visuales afecta la percepción del movimiento y la forma. los autores muestran que frecuencias más altas facilitan la detección de movimiento, mientras que frecuencias más bajas mejoran la percepción de forma. estos hallazgos sugieren que el cerebro ajusta el procesamiento visual según la dinámica temporal del estímulo, implicando mecanismos diferenciados para análisis de forma y movimiento.","frecuencia temporal, percepción del movimiento, percepción de la forma, procesamiento visual, estímulos visuales, mecanismos diferenciados, análisis visual, dinámica temporal"
specificity of flicker adaptation,"Tyler, C. W.",1981,"este estudio examina la adaptación neuronal específica al parpadeo (flicker) visual. los resultados muestran que la exposición repetida a estímulos intermitentes reduce la respuesta cortical, pero de manera selectiva según la frecuencia y características del flicker. esto indica que la corteza visual adapta su sensibilidad a estímulos rítmicos específicos, lo que tiene implicaciones para comprender mecanismos de adaptación, percepción temporal y diseño de estímulos visuales en investigación neurofisiológica.","adaptación al parpadeo, flicker, respuesta cortical, corteza visual, sensibilidad neuronal, percepción temporal, mecanismos de adaptación, estímulos rítmicos, investigación neurofisiológica"
temporal impulse response functions for luminance and color,"Burr, D. & Morrone, M. C.",1996,"este estudio analiza cómo la corteza visual responde a cambios temporales en luminancia y color mediante funciones de respuesta al impulso temporal. los autores muestran que la percepción de luminancia y color sigue diferentes perfiles temporales, indicando que existen mecanismos separados para procesar información de brillo y cromática. estos hallazgos proporcionan información clave sobre el procesamiento temporal de estímulos visuales y la codificación neuronal de atributos visuales esenciales.","respuesta al impulso temporal, luminancia, color, corteza visual, procesamiento temporal, mecanismos separados, percepción visual, codificación neuronal, atributos visuales"
functional architecture for disparity and shape in macaque v4,"Verhoef, B. E. et al.",2012,"este estudio investiga cómo el área v4 de macacos procesa información de disparidad y forma. utilizando registros neuronales, los autores muestran que v4 contiene mapas funcionales especializados que codifican profundidad (disparidad) y características de forma de manera integrada. estos hallazgos sugieren que v4 combina información espacial y de forma para apoyar la percepción tridimensional y la representación de objetos complejos, proporcionando un modelo de arquitectura visual jerárquica y distribuida.","área v4, disparidad, forma, macacos, registros neuronales, mapas funcionales, percepción tridimensional, representación de objetos, arquitectura visual, procesamiento integrado"
"parallel, multi-stage processing of colors and shapes","Lafer-Sousa, R. & Conway, B. R.",2013,"este estudio analiza cómo el cerebro procesa colores y formas en paralelo y en múltiples etapas. usando fmri, los autores muestran que diferentes áreas de la corteza visual ventral procesan simultáneamente atributos cromáticos y geométricos, con integración posterior en niveles jerárquicos superiores. esto sugiere un modelo de procesamiento visual distribuido y especializado, donde la percepción de objetos depende de la combinación de rutas paralelas que manejan color y forma de manera coordinada.","procesamiento paralelo, colores, formas, corteza visual ventral, fmri, integración jerárquica, percepción de objetos, rutas paralelas, procesamiento visual distribuido"
the processing of color and form: an overview,"Wilkinson, F. & Halligan, P.",2004,"esta revisión ofrece una visión general de cómo el cerebro procesa color y forma. los autores discuten hallazgos de neuroimagen, estudios de pacientes y experimentos de percepción, mostrando que color y forma son procesados en rutas parcialmente separadas dentro de la corteza visual, pero que se integran en etapas superiores para la percepción coherente de objetos. se destacan aspectos funcionales de áreas como v1, v2 y v4, y cómo la interacción entre rutas contribuye a la percepción visual y la atención.","procesamiento del color, procesamiento de la forma, corteza visual, neuroimagen, percepción visual, integración de rutas, áreas visuales, atención visual"
from simple cells to perception of shape and color,"Spillmann, L.",2014,"este estudio revisa cómo la información visual se transforma desde células simples en la corteza primaria hasta la percepción compleja de forma y color. se discuten mecanismos de integración neuronal que permiten combinar información de contornos, orientación y cromaticidad, así como la interacción entre vías ventral y dorsal. los hallazgos proporcionan un marco para entender cómo el cerebro construye representaciones perceptuales ricas a partir de señales sensoriales básicas.","células simples, percepción de la forma, percepción del color, corteza primaria, integración neuronal, vías ventral y dorsal, representaciones perceptuales, señales sensoriales"
cortical mechanisms of color vision,"Gegenfurtner, K. R.",2003,"este artículo revisa los mecanismos corticales responsables de la percepción del color. se analiza la función de áreas visuales como v1, v2 y v4 en la codificación de información cromática, la constancia de color y la discriminación de tonalidades. también se discuten modelos teóricos sobre cómo la corteza integra señales de diferentes tipos de conos y cómo la interacción entre rutas paralelas permite la percepción estable y precisa del color.","mecanismos corticales, percepción del color, corteza visual, áreas v1, v2, v4, codificación cromática, constancia de color, discriminación de tonalidades, integración de señales, rutas paralelas"
spatial frequency and flicker interactions in steady-state responses,"Norcia, A. M. & Tyler, C. W.",1985,"este estudio analiza cómo la frecuencia espacial y el parpadeo (flicker) interactúan para generar respuestas visuales en estado estable (ssveps). los autores muestran que la amplitud y fase de las respuestas dependen de la combinación de frecuencia espacial y temporal del estímulo, indicando que la corteza visual procesa de manera integrada estas propiedades. los hallazgos son fundamentales para comprender la codificación neuronal de estímulos complejos y optimizar paradigmas experimentales en neurofisiología visual.","frecuencia espacial, parpadeo, flicker, ssveps, corteza visual, codificación neuronal, estímulos complejos, neurofisiología visual, integración de propiedades, paradigmas experimentales"
impact of color psychology on students perception in learning spaces,"Naz, F.",2024,"este estudio examina cómo los colores de los espacios de aprendizaje afectan la percepción, el estado de ánimo y el rendimiento académico de los estudiantes. se demuestra que los tonos cálidos aumentan la energía y la participación, mientras que los tonos fríos fomentan la concentración y la calma.","color psychology, learning spaces, mood, academic performance, environmental design"
